id,created_at,updated_at,date,new_to_brand_sales_clicks,viewability_rate,purchases_clicks,detail_page_views,placement_classification,new_to_brand_sales_percentage,units_sold,sales,qualified_borrows_from_clicks,kindle_edition_normalized_pages_royalties14d,add_to_list_from_clicks,cost_type,campaign_status,view_click_through_rate,campaign_budget_amount,royalty_qualified_borrows_from_clicks,purchases_promoted,new_to_brand_detail_page_view_rate,purchases,campaign_id,new_to_brand_purchases_percentage,kindle_edition_normalized_pages_read14d,qualified_borrows,sales_promoted,campaign_budget_currency_code,video_complete_views,sales_clicks,video_first_quartile_views,new_to_brand_purchases_rate,units_sold_clicks,branded_searches,video5_second_views,royalty_qualified_borrows,new_to_brand_ecp_detail_page_view,new_to_brand_purchases,branded_searches_clicks,add_to_list,new_to_brand_sales,new_to_brand_purchases_clicks,campaign_budget_type,add_to_cart_clicks,video_unmutes,add_to_cart,video_third_quartile_views,add_to_cart_rate,cost,new_to_brand_detail_page_views_clicks,impressions,new_to_brand_units_sold,viewable_impressions,detail_page_views_clicks,e_cp_add_to_cart,new_to_brand_detail_page_views,clicks,video_midpoint_views,video5_second_view_rate,new_to_brand_units_sold_clicks,new_to_brand_units_sold_percentage,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
9076,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-09,0.0,31.88,0,1,Other on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,4.55,300.0,0,0,144.92753623188406,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,4.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,4.0,1,69,0,22,1,0.0,1,1,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9077,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-10,0.0,28.95,0,1,Other on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,4.55,300.0,0,0,0.0,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,4.8,0,76,0,22,1,0.0,0,1,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9078,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-09,0.0,58.44,0,3,Top of Search on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,2.22,300.0,0,0,129.87012987012986,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,3.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,3.0,1,77,0,45,3,0.0,1,1,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9079,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-10,27.99,70.52,1,8,Top of Search on-Amazon,100.0,1,27.99,0,0,0,CPC,ENABLED,3.28,300.0,0,1,173.41040462427745,1,107283922414881,100.0,0,0,27.99,USD,0,27.99,0,25.0,1,0,0,0,5.6,1,0,0,27.99,1,DAILY_BUDGET,1,0,1,0,57.80346820809248,16.8,3,173,1,122,8,16.8,3,4,0,0.0,1,100.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9080,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-11,0.0,2.79,0,6,Detail Page on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,37.5,300.0,0,0,69.68641114982579,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,3.52,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,7.03,2,287,0,8,6,0.0,2,3,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9081,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-12,0.0,1.25,0,0,Detail Page on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,0.0,300.0,0,0,0.0,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,802,0,10,0,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9082,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-13,0.0,2.43,0,1,Detail Page on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,7.69,300.0,0,0,18.691588785046733,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,1.22,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,1.22,1,535,0,13,1,0.0,1,1,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9083,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-14,0.0,0.0,0,0,Detail Page on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,0.0,300.0,0,0,0.0,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,26,0,0,0,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9084,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-16,0.0,2.16,0,0,Detail Page on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,0.0,300.0,0,0,0.0,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,231,0,5,0,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
9085,2026-04-21 01:59:25.716587,2026-04-21 01:59:25.716587,2026-04-17,0.0,1.41,0,1,Detail Page on-Amazon,0.0,0,0.0,0,0,0,CPC,ENABLED,14.29,300.0,0,0,20.161290322580644,0,107283922414881,0.0,0,0,0.0,USD,0,0.0,0,0.0,0,0,0,0,2.79,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,2.79,1,496,0,7,1,0.0,1,1,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaignPlacement,US,INNERBRIGHTNESS,sbCampaignPlacement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:25
